iteration,temperature
0,0.0068291701381910045
1,0.013724563918855683
2,0.020618239991625122
3,0.02775235810556513
4,0.03514442813708515
5,0.042518689372404966
6,0.04961924687703441
7,0.056755195776767936
8,0.06379982122835456
9,0.07076035541908719
10,0.07808256967516426
11,0.08530521489492947
12,0.09260466537892469
13,0.09988879121563057
14,0.10694538266019951
15,0.11400461428406576
16,0.12113250914723933
17,0.12842568071011837
18,0.1357048381574402
19,0.142895999103177
20,0.1502845678104087
21,0.15747972496648854
22,0.16444250990037054
23,0.1713215741758752
24,0.1783066209159679
25,0.18531969932876025
26,0.19236897937579914
27,0.19937684647336498
28,0.20635164166356645
29,0.213346377075183
30,0.22041349892564763
31,0.22752500028024633
32,0.2347132172190051
33,0.24198847978276694
34,0.24923666583626872
35,0.2563990826678532
36,0.2635559931847313
37,0.2706857371047421
38,0.27797306910403874
39,0.2852729836473641
40,0.29245029036772285
41,0.2996256524329988
42,0.3066079143908402
43,0.31377714186342054
44,0.32089996569123136
45,0.3279087462496793
46,0.334948057025745
47,0.3420754226669844
48,0.34929558223205887
49,0.3565282969162671
50,0.3637414292295965
51,0.37081304978272267
52,0.3778601782366814
53,0.38486035307331
54,0.3919738133444055
55,0.3990741815479872
56,0.40629038288730723
57,0.413640470750558
58,0.4210937614232134
59,0.42828528099438967
60,0.4354221344609242
61,0.4427995074287951
62,0.4502365609161787
63,0.4576326157449332
64,0.46498047345593646
65,0.4724390516719046
66,0.4797947207471308
67,0.48706222745228595
68,0.49437975045675125
69,0.5015572694662022
70,0.5089542043695464
71,0.5163168831111825
72,0.5237462720249746
73,0.5310675048532771
74,0.5384487791183266
75,0.5455737425824077
76,0.5527027682808245
77,0.5600213654145295
78,0.5675692700091606
79,0.5751560074829405
80,0.582564033753474
81,0.5900190966974864
82,0.5975535267862349
83,0.6050994593330875
84,0.6126077523325646
85,0.6202078002049359
86,0.627758267375187
87,0.6352939706875345
88,0.6426533349842123
89,0.6500686821119633
90,0.6576911602281857
91,0.6652336782651085
92,0.6727299499168304
93,0.6800899059434019
94,0.6874794774987347
95,0.6951392747438537
96,0.7028054734933543
97,0.7104944371592378
98,0.7180110070801581
99,0.7255398888191037
100,0.7332087611353256
101,0.7408709426573601
102,0.7486083120714587
103,0.7567274678370831
104,0.7646920590387198
105,0.7724459748476975
106,0.7803451729048312
107,0.7881102602761949
108,0.7957700600426333
109,0.8035072411379232
110,0.8112832563462763
111,0.8193339351218935
112,0.82725141779791
113,0.8351904496642167
114,0.8431305374625241
115,0.8510226791153236
116,0.8591608980327874
117,0.8675620317440846
118,0.8761095209268617
119,0.8843540942483044
120,0.8924591773949384
121,0.9005665740992773
122,0.9088207759139875
123,0.9169050302099744
124,0.9253685979438019
125,0.9338850998566429
126,0.9420827732053518
127,0.9503007640030732
128,0.9586635190517685
129,0.9669758621733703
130,0.9752326025127461
131,0.9834828061035156
132,0.9918147088878587
133,1.0
